NAME,AGE,SEX,MARITIAL STATUS,ADHAAR CARD NO.,PAN CARD NO.,ADDRESS,PHONE NO.,POLICY CODE,POLICY NAME,POLICY EXPIRY YEAR,INSURANCE AMOUNT,NOMINEE NAME,NOMINEE RELATION,NOMINEE NO.
Harshita,24,Female,MARRIED,4584 4521 1032 ,PLOID4552E,"43 A,MANGAL APPT. CHENNAI",9685696542,501,LIC TERM COVER,2031,500000,Jobin,HUSBAND,9852164735
Rinki ,29,Female,MARRIED,1452 6523 8457 ,QPOLT4578A,"21, PHASE 2, TIRUVANATHPURAM",6356274548,501,LIC TERM COVER,2054,500000,Himanshu,HUSBAND,9584753501
Surbhijyoti ,28,Female,MARRIED,5214 4125 6894,ERTYC4568,"PLOT 21, SECTOR 21, NOIDA,UP",9865845745,501,LIC TERM COVER,2014,500000,Jerry ,HUSBAND,9652164520
Mohini,27,Female,MARRIED,7485 9568 8575,RFTHY7458O,"FLAT 45A, SECTOR 62,NOIDA, UP",9864859654,501,LIC TERM COVER,2031,500000,Josheph,HUSBAND,7845825648
Purva Rana,54,Female,UNMARRIED,7412 4562 5236,PLOIP2098B,"PLOT A, SECTOR 27, NOIDA,UP",6326595634,501,LIC TERM COVER,2012,500000,Chinmay Chaudhary ,FATHER,9658468595
Somitra Rana,24,Male,UNMARRIED,8780 4625 2020 ,QWERT7458U,"701,BUILDING B,MVR,MUMBAI",9568452421,501,LIC TERM COVER,2016,500000,Mamata Sukla,MOTHER,8457455246
Sunil,23,Male,UNMARRIED,9696 3639 1520 ,WSTHS9620P,"43 A,MANGAL APPT. CHENNAI",6584956845,501,LIC TERM COVER,2030,500000,Meenakshi Tyagi,MOTHER,7812030130
Rajeeva,45,Male,MARRIED,1230 4568 7485,SXTGH4520Q,"76 C, KIRTI BUILDING, DELHI",7625626654,501,LIC TERM COVER,2051,500000,Rani Mukkerjee,HUSBAND,6300002312
Kartik,56,Male,MARRIED,9865 1500 2456,POLAD1039T,"8B, POCKET 2, MVP-3, BHUBANESWAR",9875485625,501,LIC TERM COVER,2045,500000,Shilpa Sen,HUSBAND,7845860132
Suraaj ,90,Male,MARRIED,1425 6352 9689,POGHT60325,"12/4 BUILDING 2, SITE 4,MADHURAI",7788554485,501,LIC TERM COVER,2060,500000,Ranika Chatopadhaya,HUSBAND,9681201452
Malik,30,Male,MARRIED,5623 2013 1425,WEDRT7458I,"41, VVIP APPT, NAVI MUMBAI",9685203016,501,LIC TERM COVER,2040,500000,Sanjeevani,WIFE,9856852454
Sushant,56,Male,MARRIED,8956 4125 2635,ASXAA4526O,"21A, COVERT SQUARE, AHEMDABAD",6936214587,501,LIC TERM COVER,2056,500000,Kirti ,WIFE,9856824555
Rahul,31,Male,MARRIED,2030 1021 6548,ASZSD36251,"11,LANE 2, DELHI",9685472151,501,LIC TERM COVER,2015,500000,Sonali ,WIFE,6526655852
Ravi ,24,Male,UNMARRIED,7895 4569 4125,KOLPA4586F,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",9326015204,501,LIC TERM COVER,2015,500000,Shikha,MOTHER,9856895620
Ketan,25,Male,UNMARRIED,4103 1210 1251,COPAS9568R,"PLOT 2S,SECTOR 71, CHANDIGARH",6329655824,501,LIC TERM COVER,2015,500000,Komal ,MOTHER,9864857521
Sonali ,22,Female,UNMARRIED,1426 5263 2514 ,POIU7895Q,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",9658201301,101,LIC LIFE INSURANCE-11,2015,20000,Rajeev,FATHER,9865485714
Sheena,26,Female,UNMARRIED,4152 6325 5689 ,TYHUG56822,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",6325415241,101,LIC LIFE INSURANCE-11,2020,20000,Tiru,FATHER,8659856244
Rani,24,Female,MARRIED,8547 4596 6546 ,POITY4021Y,"12/7, BUILDING 2, SITE 5, GAZAIBAD",6324512520,101,LIC LIFE INSURANCE-11,2021,20000,Gaurav,HUSBAND,9865482461
Kritivij,21,Female,MARRIED,4587 4125 2365 ,PLOIA2300L,"123-A, POCKET 2, MVS, MANAGALORE",7854965862,101,LIC LIFE INSURANCE-11,2024,20000,Shivaaji,HUSBAND,9865214523
Priyanka,30,Female,MARRIED,1245 1425 3602,PLOKI12344,"709, T-5, GAUR CITY, JAIPUR",9856823625,101,LIC LIFE INSURANCE-11,2025,20000,Adinarayaan,HUSBAND,9864852154
Raju ,25,Male,MARRIED,4526 1235 2356 ,QWASA4512L,"21/5, SITE 2, CUTTUCK ",9865942022,101,LIC LIFE INSURANCE-11,2029,20000,Purva,WIFE,9854856324
Jobin,28,Male,MARRIED,4578 9658 6235,WTSYH493S2,"42, BAZAAR ROAD, HIRAKUD",9324648256,101,LIC LIFE INSURANCE-11,2026,20000,Harshita,WIFE,9845845154
Bishweashwar Sukla,21,Male,UNMARRIED,8442 6040 5922,IFFPS1869B,"FLAT NO. 704,T-4, EXOTICA DREAMVILLE,GREATER NOIDA, UP",9319144691,101,LIC LIFE INSURANCE-13,2026,100000,Dhaneswar Sukla,FATHER,9868920906
Magi,12,Female,MARRIED,1234 1234 1234,SAKJD323F,puri,9090901111,100,lic,2090,100000,Patnaik S,MOTHER,9011190111
